NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-10-04;2021-10-10;Si;;;60.1743;22.3904;16;4956.6884;3025;517;0.9812;23;0;4;9;7;16;8;2071;375;45;63
CATALUNYA;GLOBAL;2021-10-04;2021-10-10;No;44.5132;0.825159;53.9450;22.5246;1737;1713.2742;79937;52183;1.6515;197;25;14;942;795;1042;796;66134;45156;19582;32012
CATALUNYA;GLOBAL;2021-10-03;2021-10-09;No;45.1737;0.821796;54.9694;23.1989;1789;1730.3654;80856;52582;1.6734;218;24;15;982;807;1066;816;66926;45540;19454;31998
CATALUNYA;GLOBAL;2021-10-03;2021-10-09;--;;;0.0000;0.0000;62;0.0000;9292;33;0.4970;39;4;0;48;14;45;1;9226;30;432;475
CATALUNYA;GLOBAL;2021-10-03;2021-10-09;Si;;;65.7719;23.7898;17;5197.3859;3106;608;0.9634;21;0;4;9;8;16;9;2146;449;45;63
CATALUNYA;GLOBAL;2021-10-02;2021-10-08;--;;;0.0000;0.0000;71;0.0000;9302;33;0.5935;35;4;0;56;15;54;1;9237;30;420;462
CATALUNYA;GLOBAL;2021-10-02;2021-10-08;Si;;;64.3725;20.9910;15;5286.9477;3177;601;0.8752;21;1;4;9;6;16;7;2184;444;44;65
CATALUNYA;GLOBAL;2021-10-02;2021-10-08;No;46.2346;0.828586;55.7994;23.4972;1812;1747.5993;82465;52302;1.6898;234;26;19;1026;786;1124;798;68403;45338;19426;31865
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;No;49.6144;0.865425;57.3295;24.4827;1888;1771.1614;84546;52038;1.7376;233;20;19;1064;824;1174;833;70355;45152;19014;30454
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;--;;;0.0000;0.0000;72;0.0000;9188;35;0.5574;34;3;0;55;17;50;1;9119;30;432;427
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;Si;;;76.9672;22.3904;16;5614.4082;3407;605;0.8478;21;1;3;10;6;17;7;2373;458;48;71
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;Si;;;88.1624;25.1892;18;5789.3337;3524;613;0.9272;22;2;3;11;7;18;9;2446;466;56;66
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;No;53.903;0.917607;58.7430;26.2593;2025;1773.4307;85410;51349;1.8417;227;22;20;1160;865;1263;868;71205;44506;19880;32938
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;--;;;0.0000;0.0000;78;0.0000;9100;28;0.5525;30;3;0;55;23;49;1;9027;22;455;447
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;--;;;0.0000;0.0000;85;0.0000;9100;38;0.6289;24;3;0;60;25;56;1;9031;32;440;450
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;Si;;;95.1594;27.9880;20;6046.8240;3687;634;0.9667;26;4;4;13;7;20;9;2505;495;52;83
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;No;58.1556;0.967156;60.1305;27.8154;2145;1801.6092;85907;53025;1.8858;229;26;19;1213;932;1282;937;71751;45919;20534;35715
